fine_label	utterance
airfare	please show me the cost of flight ua 201 from boston to denver and flight ua 343 from boston to denver
unk	i need flights that arrive in baltimore from pittsburgh
flight	show me all the flights from new york to milwaukee
flight	what flights are there between atlanta and denver
flight	what flights are available from pittsburgh to oakland airport
flight	i 'm requesting flight information on a flight from san francisco to pittsburgh on friday
flight	show me morning flights from toronto
airfare	what is the fare from san francisco to dallas fort worth on delta flight 852
flight	what flights do you have today from san francisco to pittsburgh
flight	what are all flights from philadelphia to denver on wednesdays
quantity	how many delta flights leave from washington
flight	i 'd like the flights from san jose to nashville on the morning of friday june third
flight	what flights go from philadelphia to dallas with a stopover in atlanta
flight_time	what is the departure time of the latest flight of united airlines from denver to boston
flight	all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
flight	show me all flights from pittsburgh to oakland that arrive after 10 am
flight	and what is the last flight from denver to boston for tomorrow evening
airfare	how much is the 718 am flight from las vegas to new york twa
flight	show me all flights from philadelphia to dallas which arrive in dallas before 3 o'clock pm on saturday
flight	list all flights from boston to atlanta after 6 o'clock pm on wednesday
flight	what northwest airline flights leave denver before noon
flight	do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas
flight	show me all flights from new york to miami on a tuesday with round trip fares under 932 dollars
airline	what airlines fly from boston to pittsburgh
flight	please list the thursday morning flights from st. louis to st. paul
flight	show me all flights from san diego to los angeles
flight	can you list all nonstop flights departing from st. petersburg and arriving in charlotte
flight	flights from phoenix to newark
abbreviation	what is hp
flight	is there an american airlines flight in the evening from dallas to san francisco
flight	show me all nonstop flights between denver and oakland leaving after noon and arriving after 5 pm
flight	i 'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out
flight	show me the flights
flight	give me flights that arrive in baltimore from atlanta
flight	show me flights from denver to philadelphia
